geolocation_zip_code_prefix|Первый	latitude	longitude	geolocation_city|Первый	geolocation_state|Первый	Дубликат
1037	-23,54562128115268	-46,63929204800168	sao paulo	SP	?
1046	-23,54608112703553	-46,64482029837157	sao paulo	SP	?
1046	-23,54612896641469	-46,64295148361138	sao paulo	SP	?
1047	-23,54627311241268	-46,64122516971552	sao paulo	SP	?
1013	-23,546923208436723	-46,6342636964915	sao paulo	SP	?
1029	-23,543769055769133	-46,63427784085132	sao paulo	SP	?
1011	-23,547639550320632	-46,63603162315495	sao paulo	SP	?
1013	-23,547325128224376	-46,63418378613892	sao paulo	SP	?
1012	-23,548945985189437	-46,63467113292871	sao paulo	SP	?
1039	-23,54188300998332	-46,63991946670314	sao paulo	SP	?
1024	-23,541389521053937	-46,62989908781218	são paulo	SP	?
1009	-23,54693540437998	-46,63658792659698	sao paulo	SP	?
1046	-23,54588427921401	-46,64316319124004	sao paulo	SP	?
1046	-23,545165891770928	-46,643785796266464	sao paulo	SP	?
1020	-23,55223547100232	-46,6284406588955	são paulo	SP	?
1011	-23,546690486964888	-46,6354469588072	são paulo	SP	?
1050	-23,549773516504185	-46,64559900666509	sao paulo	SP	?
1045	-23,541593762969622	-46,64189378810082	sao paulo	SP	?
1007	-23,550392524842728	-46,63730164071784	sao paulo	SP	?
1032	-23,5398418758395	-46,63514797691531	são paulo	SP	?
1041	-23,543539449073783	-46,64057731057763	sao paulo	SP	?
1005	-23,549819091869107	-46,63560588995324	sao paulo	SP	?
1046	-23,54532011933758	-46,64406863434122	sao paulo	SP	?
1019	-23,552151883432384	-46,63080224715792	sao paulo	SP	?
1032	-23,540774688874112	-46,63551484303775	sao paulo	SP	?
1017	-23,5492954052167	-46,63207469510652	sao paulo	SP	?
1050	-23,549009406053425	-46,64281228183975	sao paulo	SP	?
1050	-23,548755593946588	-46,642789203733535	sao paulo	SP	?
1050	-23,54985418067981	-46,643139396906825	sao paulo	SP	?
1033	-23,54032130474925	-46,636394815973325	sao paulo	SP	?
1009	-23,54569153926945	-46,635866061486446	sao paulo	SP	?
1050	-23,54874766250217	-46,64239136704376	sao paulo	SP	?
1032	-23,54119147654225	-46,63499346058632	sao paulo	SP	?
1020	-23,552549496537548	-46,63163152553523	sao paulo	SP	?
1006	-23,55052430835593	-46,63669363835193	sao paulo	SP	?
1020	-23,552482452132203	-46,62938955675458	sao paulo	SP	?
1047	-23,54660531805078	-46,641982174447385	sao paulo	SP	?
1047	-23,54599881709849	-46,640834743407	sao paulo	SP	?
1035	-23,54020455565808	-46,64414705704306	sao paulo	SP	?
1027	-23,538670334439413	-46,62934557285476	sao paulo	SP	?
1046	-23,54638197224308	-46,642893706619056	são paulo	SP	?
1042	-23,54505164917197	-46,64007245239201	sao paulo	SP	?
1046	-23,54639669248079	-46,64305934055624	sao paulo	SP	?
1017	-23,54981334999131	-46,63035027254893	sao paulo	SP	?
1033	-23,539147179866543	-46,63583236462368	sao paulo	SP	?
1036	-23,541700023861782	-46,64131782056096	sao paulo	SP	?
1045	-23,542925000621707	-46,643423947383695	sao paulo	SP	?
1014	-23,547082268784923	-46,63340844117833	sao paulo	SP	?
1048	-23,547448918662464	-46,64016924063704	são paulo	SP	?
1002	-23,54831797807146	-46,63542110199666	sao paulo	SP	?
1033	-23,536156075768947	-46,63565005635056	sao paulo	SP	?
1048	-23,547052131282804	-46,639477959749584	sao paulo	SP	?
1014	-23,546453343326203	-46,63394723397195	sao paulo	SP	?
1031	-23,537304315614183	-46,63386243849112	sao paulo	SP	?
1022	-23,54498660505508	-46,63345367485142	sao paulo	SP	?
1009	-23,546340513734236	-46,63623850320264	sao paulo	SP	?
1010	-23,547806958346342	-46,63612181853806	sao paulo	SP	?
1020	-23,55253336164808	-46,62960898251487	sao paulo	SP	?
1045	-23,54230306549716	-46,64280268887412	sao paulo	SP	?
1050	-23,549107326677785	-46,644104604074144	são paulo	SP	?
1001	-23,54929199999999	-46,633559478233785	sao paulo	SP	?
1026	-23,53984025062037	-46,6302639919499	sao paulo	SP	?
1014	-23,54631891978764	-46,63343055730286	sao paulo	SP	?
1014	-23,546940580846677	-46,633311921420805	sao paulo	SP	?
1032	-23,53701970912921	-46,63435857175824	sao paulo	SP	?
1017	-23,548851827918533	-46,63120714847948	sao paulo	SP	?
1015	-23,544826346129778	-46,63086956396899	sao paulo	SP	?
1039	-23,5406861987132	-46,638296449218	sao paulo	SP	?
1046	-23,546252957116764	-46,64521736309942	sao paulo	SP	?
1024	-23,54186295323959	-46,63003529431536	sao paulo	SP	?
1031	-23,542520789115148	-46,63533516134283	sao paulo	SP	?
1050	-23,55073674632121	-46,64337116570483	sao paulo	SP	?
1016	-23,54849512877264	-46,633490627676125	sao paulo	SP	?
1049	-23,54530659310986	-46,636994571065735	sao paulo	SP	?
1026	-23,539439503750906	-46,63306386663973	sao paulo	SP	?
1016	-23,549283671100515	-46,63148490091751	sao paulo	SP	?
1021	-23,54516769470249	-46,63224867958328	sao paulo	SP	?
1018	-23,550218647763327	-46,63188	sao paulo	SP	?
1014	-23,54533828642738	-46,63358224756194	sao paulo	SP	?
1044	-23,54575105023373	-46,64132693574358	sao paulo	SP	?
1043	-23,544734636418685	-46,64252349042071	sao paulo	SP	?
1046	-23,545317917306143	-46,64397479626647	sao paulo	SP	?
1035	-23,54043969776091	-46,64371578005073	sao paulo	SP	?
1036	-23,54131144157196	-46,64188583152521	sao paulo	SP	?
1046	-23,545368575913177	-46,64318283002467	sao paulo	SP	?
1035	-23,5439473297362	-46,63739650167344	sao paulo	SP	?
